iter	Passed	Remaining
939	311422	86138
940	311676	85785
941	311942	85436
942	312179	85079
943	312427	84726
944	312702	84379
945	312978	84034
946	313212	83677
947	313474	83328
948	313740	82981
949	313989	82628
950	314246	82279
951	314511	81931
952	314787	81587
953	315059	81241
954	315334	80897
955	315590	80548
956	315851	80200
957	316116	79854
958	316361	79502
959	316607	79151
960	316867	78804
961	317116	78454
962	317395	78113
963	317656	77766
964	317914	77419
965	318154	77068
966	318448	76730
967	318686	76379
968	318920	76027
969	319166	75678
970	319420	75331
971	319669	74984
972	319937	74641
973	320187	74293
974	320459	73952
975	320701	73603
976	320973	73262
977	321256	72923
978	321500	72575
979	321749	72229
980	321983	71880
981	322236	71535
982	322483	71189
983	322728	70842
984	322987	70499
985	323248	70157
986	323515	69816
987	323776	69474
988	324036	69132
989	324300	68791
990	324563	68449
991	324830	68109
992	325126	67775
993	325394	67435
994	325652	67094
995	325915	66753
996	326168	66411
997	326437	66072
998	326686	65729
999	326937	65387
1000	327184	65044
1001	327456	64706
1002	327756	64374
1003	328012	64034
1004	328264	63693
1005	328521	63353
1006	328796	63016
1007	329075	62681
1008	329338	62342
1009	329606	62005
1010	329862	61665
1011	330117	61326
1012	330411	60994
1013	330661	60653
1014	330924	60316
1015	331170	59975
1016	331550	59659
1017	331856	59329
1018	332158	58999
1019	332469	58671
1020	332734	58334
1021	332984	57995
1022	333237	57656
1023	333509	57321
1024	333749	56981
1025	333989	56641
1026	334239	56303
1027	334496	55966
1028	334738	55627
1029	334991	55289
1030	335251	54953
1031	335519	54619
1032	335776	54283
1033	336034	53947
1034	336285	53610
1035	336560	53277
1036	336811	52941
1037	337081	52608
1038	337344	52273
1039	337588	51936
1040	337825	51598
1041	338078	51263
1042	338309	50924
1043	338533	50585
1044	338803	50253
1045	339085	49922
1046	339355	49590
1047	339638	49260
1048	339902	48927
1049	340141	48591
1050	340411	48259
1051	340701	47931
1052	340955	47597
1053	341195	47262
1054	341444	46928
1055	341699	46595
1056	341964	46263
1057	342237	45933
1058	342506	45602
1059	342761	45270
1060	343010	44937
1061	343303	44610
1062	343565	44278
1063	343806	43945
1064	344069	43614
1065	344305	43280
1066	344572	42950
1067	344804	42616
1068	345056	42284
1069	345302	41952
1070	345545	41620
1071	345800	41289
1072	346056	40959
1073	346347	40632
1074	346599	40302
1075	346857	39972
1076	347117	39642
1077	347360	39311
1078	347625	38983
1079	347865	38651
1080	348136	38323
1081	348396	37995
1082	348650	37665
1083	348932	37339
1084	349201	37012
1085	349467	36684
1086	349743	36357
1087	349986	36028
1088	350227	35698
1089	350480	35369
1090	350753	35043
1091	351032	34717
1092	351304	34391
1093	351578	34065
1094	351860	33740
1095	352131	33413
1096	352386	33086
1097	352634	32758
1098	352882	32430
1099	353144	32104
1100	353429	31779
1101	353714	31455
1102	354013	31132
1103	354306	30809
1104	354573	30483
1105	354810	30155
1106	355080	29830
1107	355351	29505
1108	355623	29180
1109	355870	28854
1110	356133	28529
1111	356422	28206
1112	356682	27880
1113	356920	27554
1114	357141	27226
1115	357370	26898
1116	357610	26572
1117	357853	26246
1118	358089	25920
1119	358333	25595
1120	358574	25269
1121	358815	24944
1122	359078	24620
1123	359338	24296
1124	359591	23972
1125	359856	23649
1126	360136	23327
1127	360420	23005
1128	360674	22681
1129	360919	22357
1130	361204	22036
1131	361453	21712
1132	361732	21391
1133	361969	21067
1134	362231	20744
1135	362515	20423
1136	362751	20099
1137	363018	19777
1138	363260	19454
1139	363499	19131
1140	363749	18809
1141	363986	18486
1142	364254	18164
1143	364534	17844
1144	364828	17524
1145	365091	17203
1146	365353	16882
1147	365595	16560
1148	365852	16238
1149	366116	15918
1150	366364	15596
1151	366631	15276
1152	366891	14955
1153	367155	14635
1154	367423	14315
1155	367698	13995
1156	367947	13674
1157	368216	13354
1158	368451	13034
1159	368688	12713
1160	368921	12392
1161	369193	12073
1162	369466	11754
1163	369716	11434
1164	369963	11114
1165	370213	10795
1166	370481	10476
1167	370766	10157
1168	371028	9839
1169	371310	9520
1170	371547	9201
1171	371791	8882
1172	372050	8563
1173	372307	8245
1174	372547	7926
1175	372783	7607
1176	373021	7289
1177	373267	6971
1178	373514	6652
1179	373795	6335
1180	374055	6017
1181	374370	5701
1182	374666	5384
1183	374958	5067
1184	375241	4749
1185	375539	4433
1186	375825	4116
1187	376121	3799
1188	376384	3482
1189	376649	3165
1190	376905	2848
1191	377146	2531
1192	377372	2214
1193	377627	1897
1194	377906	1581
1195	378147	1264
1196	378427	948
1197	378694	632
1198	378980	316
1199	379253	0
